Term,Project,TopicID,Screen#,Template Type,Category,Status,Type,Title or Non Title,Title,Instruction,Tooltip,Webhost link,Title by
2,MOE_SCI,SC8_L019_Review,4,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Drag and drop the option to correctly label each wave.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L019_Review/app/index.html,Aditi
2,MOE_SCI,SC5_L012_Investigate_1,6,Custom DND,C1,Done,Drag and Drop,NotInTitle,,Sam has the following materials: Sand: pH 5.3 Potting Soil: pH 6.2 Complete the table.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L012_Investigate_1/app/index.html,Aditi
2,MOE_SCI,SC5_L013_Learn_2,6,Custom DND,A1,Done,Drag and Drop,NotInTitle,What are some types of storms?,Identify the type of storm and complete the sentences.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L013_Learn_2/app/index.html,Aditi
2,MOE_SCI,SC6_L015_Review,4,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Drag and drop the correct name for each part of the digestive system.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Alpha/LOs/MOE/G6/SC6_L015_Review/app/,Aditi
2,MOE_SCI,SC7_L014_Learn_2,3,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Compare the number of atoms and amu of the reactants and products. Complete the diagram.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L014_Learn_2/app/,Aditi
2,MOE_SCI,SC8_L021_Review,2,Custom DND,B1,Done,Drag and Drop,inTitle,,Order the types of electromagnetic waves from lowest to highest radiant energy.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L021_Review/app/,Aditi
2,MOE_SCI,SC8_L022_Review,2,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Drag and drop the option to correctly label the picture.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L022_Review/app/index.html,Aditi
2,MOE_SCI,SC5_L014_Review,2,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Identify the types of natural resources  and their examples.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L014_Review/app/index.html,Aditi
2,MOE_SCI,SC8_L023_Review,2,Custom DND,A1,Done,Drag and Drop,inTitle,,Place the light rays in their correct position below.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L023_Review/app/,Aditi
2,MOE_SCI,SC6_L016_Review,6,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Drag the correct terms to the correct location of the respiratory system.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L016_Review/app/index.html,Aditi
