Week,TopicID,Screen#,left,right,top,bottom,Reader
6,CS_ELA5_L006_Analyze,2,,,,,4
6,CS_ELA5_L006_Analyze,3,,,,,4
6,CS_ELA5_L006_Analyze,4,,,,,4
6,CS_ELA5_L006_Discover,2,,,,,4
6,CS_ELA5_L006_Discover,3,,,,,4
6,CS_ELA5_L006_Discover,4,,,,,4
6,CS_ELA6_L006_Discover,2,,,,,4
6,CS_ELA6_L006_Discover,3,,,,,4
6,CS_ELA6_L006_Analyze,2,,,,,4
6,CS_ELA6_L006_Analyze,3,,,,,4
6,CS_ELA7_L006_Analyze,2,,,,,4
6,CS_ELA7_L006_Analyze,3,,,,,4
6,CS_ELA7_L006_Discover,2,,,,,4
6,CS_ELA7_L006_Discover,3,,,,,4
6,CS_ELA7_L006_Discover,4,,,,,4
6,CS_ELA8_L006_Analyze,2,,,,,4
6,CS_ELA8_L006_Analyze,3,,,,,4
6,CS_ELA8_L006_Discover,5,,,,,4
6,CS_ELA8_L006_Discover,6,,,,,4
6,CS_ELA9_L006_Analyze,5,,,,,4
6,CS_ELA9_L006_Analyze,6,,,,,4
6,CS_ELA9_L006_Analyze,7,,,,,4
6,CS_ELA9_L006_Discover,5,,,,,4
6,CS_ELA9_L006_Discover,6,,,,,4
6,CS_ELA9_L006_Discover,7,,,,,4
7,CS_ELA5_L007_Discover,2,,,,,5
7,CS_ELA5_L007_Discover,3,,,,,5
7,CS_ELA5_L007_Analyze,2,,,,,5
7,CS_ELA5_L007_Analyze,3,,,,,5
7,CS_ELA6_L007_Discover,2,,,,,4
7,CS_ELA6_L007_Discover,3,,,,,4
7,CS_ELA6_L007_Analyze,2,,,,,4
7,CS_ELA6_L007_Analyze,3,,,,,4
7,CS_ELA7_L007_Discover,2,,,,,5
7,CS_ELA7_L007_Discover,3,,,,,5
7,CS_ELA7_L007_Discover,4,,,,,5
7,CS_ELA7_L007_Analyze,3,,,,,5
7,CS_ELA7_L007_Analyze,4,,,,,5
7,CS_ELA7_L007_Analyze,5,,,,,5
7,CS_ELA8_L007_Discover,4,,,,,4
7,CS_ELA8_L007_Discover,5,,,,,4
7,CS_ELA8_L007_Discover,6,,,,,4
7,CS_ELA8_L007_Analyze,2,,,,,4
7,CS_ELA8_L007_Analyze,3,,,,,4
7,CS_ELA8_L007_Analyze,4,,,,,4
7,CS_ELA9_L007_Discover,5,,,,,5
7,CS_ELA9_L007_Discover,6,,,,,5
7,CS_ELA9_L007_Discover,7,,,,,5
7,CS_ELA9_L007_Analyze,5,,,,,5
7,CS_ELA9_L007_Analyze,6,,,,,5
7,CS_ELA9_L007_Analyze,7,,,,,5
8,CS_ELA5_L008_Discover,2,,,,,5
8,CS_ELA5_L008_Discover,3,,,,,5
8,CS_ELA5_L008_Discover,4,,,,,5
8,CS_ELA5_L008_Analyze,2,,,,,5
8,CS_ELA5_L008_Analyze,3,,,,,5
8,CS_ELA5_L008_Analyze,4,,,,,5
8,CS_ELA6_L008_Discover,2,,,,,5
8,CS_ELA6_L008_Discover,3,,,,,5
8,CS_ELA6_L008_Discover,4,,,,,5
8,CS_ELA6_L008_Analyze,2,,,,,5
8,CS_ELA6_L008_Analyze,3,,,,,5
8,CS_ELA6_L008_Analyze,4,,,,,5
8,CS_ELA7_L008_Discover,2,,,,,5
8,CS_ELA7_L008_Discover,3,,,,,5
8,CS_ELA7_L008_Discover,4,,,,,5
8,CS_ELA7_L008_Analyze,4,,,,,5
8,CS_ELA7_L008_Analyze,5,,,,,5
8,CS_ELA7_L008_Analyze,6,,,,,5
8,CS_ELA8_L008_Discover,4,,,,,5
8,CS_ELA8_L008_Discover,5,,,,,5
8,CS_ELA8_L008_Discover,6,,,,,5
8,CS_ELA8_L008_Discover,7,,,,,5
8,CS_ELA8_L008_Analyze,2,,,,,5
8,CS_ELA8_L008_Analyze,3,,,,,5
8,CS_ELA8_L008_Analyze,4,,,,,5
8,CS_ELA8_L008_Analyze,5,,,,,5
8,CS_ELA9_L008_Discover,5,,,,,5
8,CS_ELA9_L008_Discover,6,,,,,5
8,CS_ELA9_L008_Discover,7,,,,,5
8,CS_ELA9_L008_Analyze,5,,,,,5
8,CS_ELA9_L008_Analyze,6,,,,,5
8,CS_ELA9_L008_Analyze,7,,,,,5
9,CS_ELA5_L009_Discover,2,,,,,6
9,CS_ELA5_L009_Discover,3,,,,,6
9,CS_ELA5_L009_Analyze,2,,,,,6
9,CS_ELA5_L009_Analyze,3,,,,,6
9,CS_ELA6_L009_Discover,2,,,,,6
9,CS_ELA6_L009_Discover,3,,,,,6
9,CS_ELA6_L009_Analyze,2,,,,,6
9,CS_ELA6_L009_Analyze,3,,,,,6
9,CS_ELA7_L009_Discover,2,,,,,6
9,CS_ELA7_L009_Discover,3,,,,,6
9,CS_ELA7_L009_Analyze,2,,,,,6
9,CS_ELA7_L009_Analyze,3,,,,,6
9,CS_ELA8_L009_Discover,5,,,,,6
9,CS_ELA8_L009_Discover,6,,,,,6
9,CS_ELA8_L009_Discover,7,,,,,6
9,CS_ELA8_L009_Analyze,3,,,,,6
9,CS_ELA8_L009_Analyze,4,,,,,6
9,CS_ELA8_L009_Analyze,5,,,,,6
9,CS_ELA9_L009_Discover,5,,,,,6
9,CS_ELA9_L009_Discover,6,,,,,6
9,CS_ELA9_L009_Discover,7,,,,,6
9,CS_ELA9_L009_Analyze,3,,,,,6
9,CS_ELA9_L009_Analyze,4,,,,,6
9,CS_ELA9_L009_Analyze,5,,,,,6
10,CS_ELA5_L010_Discover,2,,,,,6
10,CS_ELA5_L010_Discover,3,,,,,6
10,CS_ELA5_L010_Analyze,2,,,,,6
10,CS_ELA5_L010_Analyze,3,,,,,6
10,CS_ELA6_L010_Discover,2,,,,,6
10,CS_ELA6_L010_Discover,3,,,,,6
10,CS_ELA6_L010_Discover,4,,,,,6
10,CS_ELA6_L010_Analyze,2,,,,,6
10,CS_ELA6_L010_Analyze,3,,,,,6
10,CS_ELA6_L010_Analyze,4,,,,,6
10,CS_ELA7_L010_Discover,2,,,,,6
10,CS_ELA7_L010_Discover,3,,,,,6
10,CS_ELA7_L010_Discover,4,,,,,6
10,CS_ELA7_L010_Analyze,2,,,,,6
10,CS_ELA7_L010_Analyze,3,,,,,6
10,CS_ELA7_L010_Analyze,4,,,,,6
10,CS_ELA8_L010_Discover,2,,,,,6
10,CS_ELA8_L010_Discover,3,,,,,6
10,CS_ELA8_L010_Discover,4,,,,,6
10,CS_ELA8_L010_Discover,5,,,,,6
10,CS_ELA8_L010_Analyze,3,,,,,6
10,CS_ELA8_L010_Analyze,4,,,,,6
10,CS_ELA8_L010_Analyze,5,,,,,6
10,CS_ELA8_L010_Analyze,6,,,,,6
10,CS_ELA9_L010_Discover,2,,,,,6
10,CS_ELA9_L010_Discover,3,,,,,6
10,CS_ELA9_L010_Analyze,3,,,,,6
10,CS_ELA9_L010_Analyze,4,,,,,6
1,CS_ELA5_L001_GoFurther,4,,,,,1
1,CS_ELA5_L001_GoFurther,5,,,,,1
1,CS_ELA9_L001_GoFurther,4,,,,,1
1,CS_ELA9_L001_GoFurther,5,,,,,1
1,CS_ELA9_L001_GoFurther,6,,,,,1
